"6177","158","8","1500.00","150.00","50.00","150.00","2019-12-29 09:41:29","2020-01-24 04:18:05"
"5533","159","22","5000.00","167.00","501.00","167.00","2019-12-29 12:40:43","2020-01-06 21:54:32"
"6566","160","8","1000.00","100.00","21.00","100.00","2019-12-29 14:44:48","2020-01-30 04:05:02"
"6566","160","8","1000.00","100.00","100.00","100.00","2019-12-29 14:44:48","2020-01-31 15:02:11"
"5562","161","7","500.00","50.00","50.00","50.00","2019-12-29 15:22:28","2020-01-27 22:59:50"
"138","162","7","500.00","50.00","50.00","50.00","2019-12-29 19:35:26","2020-01-24 22:36:07"
"8939","163","7","500.00","50.00","50.00","50.00","2019-12-29 20:14:02","2020-01-10 19:03:35"
"2223","165","7","1000.00","100.00","100.00","100.00","2019-12-29 20:53:24","2020-01-29 23:58:15"
"9312","167","8","1000.00","100.00","100.00","100.00","2019-12-29 22:14:49","2020-01-28 03:11:50"
"1725","168","7","1000.00","100.00","100.00","100.00","2019-12-29 23:49:27","2020-01-24 21:08:14"
"5638","170","7","1000.00","100.00","35.00","100.00","2019-12-30 01:45:22","2020-01-30 04:05:02"
"5638","170","7","1000.00","100.00","65.00","100.00","2019-12-30 01:45:22","2020-01-30 19:52:28"
"3667","175","7","1000.00","100.00","100.00","100.00","2019-12-30 05:31:04","2020-01-31 04:05:02"
"4057","176","7","500.00","50.00","50.00","50.00","2019-12-30 11:30:16","2020-01-20 12:58:33"
"3408","177","7","1000.00","100.00","100.00","100.00","2019-12-30 11:38:17","2020-01-29 01:35:02"
"9527","178","7","500.00","50.00","50.00","50.00","2019-12-30 12:22:38","2020-01-31 04:05:02"
"233","180","26","5000.00","167.00","167.00","167.00","2019-12-30 12:57:36","2020-01-19 01:50:38"
"6019","181","7","500.00","50.00","50.00","50.00","2019-12-30 14:29:25","2020-01-28 11:54:27"
"11043","182","7","1000.00","100.00","100.00","100.00","2019-12-30 15:24:15","2020-01-31 00:59:06"
