User_id;Credit_id;Count_months;Amount;Month_payment;Payed;Left;Planned;Credit_taken;Pay_date
11157;186;7;500;50;0,00;0,00;50;30.12.2019 16:07;29.02.2020
11156;187;7;500;50;50,00;0,00;50;30.12.2019 16:25;29.02.2020
3681;188;7;1000;100;0,00;0,00;100;30.12.2019 16:33;29.02.2020
9265;189;7;1000;100;100,00;0,00;100;30.12.2019 17:18;29.02.2020
10695;190;4;500;50;100,00;0,00;50;30.12.2019 17:48;29.02.2020
9966;191;7;1000;100;0,00;0,00;100;30.12.2019 17:53;29.02.2020
11501;192;27;5000;167;167,00;0,00;167;30.12.2019 18:53;29.02.2020
11508;193;7;500;50;0,00;0,00;50;30.12.2019 18:59;29.02.2020
2991;194;7;500;50;100,00;0,00;50;30.12.2019 19:05;29.02.2020
11431;195;9;1000;100;0,00;100,00;100;30.12.2019 19:09;29.02.2020
2426;196;7;500;50;0,00;0,00;50;30.12.2019 19:45;29.02.2020
5897;197;5;500;50;50,00;0,00;50;30.12.2019 19:58;29.02.2020
10841;198;7;500;50;50,00;0,00;50;30.12.2019 20:18;29.02.2020
134;199;7;1000;100;100,00;0,00;100;30.12.2019 20:37;29.02.2020
11746;200;7;500;50;0,00;0,00;50;30.12.2019 20:47;29.02.2020
2735;201;27;5000;167;167,00;0,00;167;30.12.2019 22:00;29.02.2020
34;202;9;1000;100;0,00;100,00;100;30.12.2019 13:34;29.02.2020
12033;203;8;1000;100;0,00;100,00;100;30.12.2019 22:22;29.02.2020
2409;204;27;5000;167;167,00;0,00;167;30.12.2019 22:22;29.02.2020
455;206;7;500;50;50,00;0,00;50;31.12.2019 0:30;29.02.2020
9890;207;7;1000;100;100,00;0,00;100;31.12.2019 0:44;29.02.2020
12525;208;6;500;50;50,00;0,00;50;31.12.2019 0:49;29.02.2020
12402;209;7;1000;100;100,00;0,00;100;31.12.2019 0:52;29.02.2020
69;210;7;500;50;0,00;0,00;50;31.12.2019 1:18;29.02.2020
132;211;8;500;50;0,00;50,00;50;31.12.2019 2:27;29.02.2020
12708;212;9;1000;100;0,00;100,00;100;31.12.2019 2:51;29.02.2020
12730;213;9;1000;100;0,00;100,00;100;31.12.2019 3:05;29.02.2020
9548;214;7;500;50;0,00;0,00;50;31.12.2019 3:34;29.02.2020
6720;215;7;1000;100;100,00;0,00;100;31.12.2019 4:42;29.02.2020
2262;216;7;1000;100;100,00;0,00;100;31.12.2019 5:25;29.02.2020
12844;217;9;1000;100;0,00;100,00;100;31.12.2019 5:40;29.02.2020
7146;219;7;1000;100;100,00;0,00;100;31.12.2019 14:40;29.02.2020
12123;220;17;3000;150;150,00;0,00;150;31.12.2019 14:59;29.02.2020
9997;221;7;1000;100;100,00;0,00;100;31.12.2019 15:16;29.02.2020
541;222;8;500;50;0,00;40,00;50;31.12.2019 15:34;29.02.2020
188;223;29;5000;167;0,00;167,00;167;31.12.2019 15:40;29.02.2020
13436;224;9;1000;100;0,00;100,00;100;31.12.2019 15:42;29.02.2020
12557;225;7;500;50;100,00;0,00;50;31.12.2019 16:08;29.02.2020
9435;226;7;1000;100;100,00;0,00;100;31.12.2019 16:18;29.02.2020
8580;227;7;500;50;50,00;0,00;50;31.12.2019 16:33;29.02.2020
12674;228;7;500;50;50,00;0,00;50;31.12.2019 16:42;29.02.2020
14134;229;7;500;50;50,00;0,00;50;31.12.2019 17:00;29.02.2020
14192;230;8;1000;100;100,00;100,00;100;31.12.2019 17:32;29.02.2020
14202;231;7;500;50;50,00;0,00;50;31.12.2019 17:34;29.02.2020
14065;232;8;1000;100;0,00;100,00;100;31.12.2019 17:41;29.02.2020
96;233;9;500;50;0,00;50,00;50;31.12.2019 17:44;29.02.2020
183;234;8;1000;100;100,00;100,00;100;31.12.2019 18:06;29.02.2020
10947;235;8;1000;100;100,00;100,00;100;31.12.2019 18:36;29.02.2020
12477;236;3;500;50;0,00;0,00;50;31.12.2019 18:57;29.02.2020
11360;237;7;500;50;50,00;0,00;50;31.12.2019 18:59;29.02.2020
12887;238;9;1000;100;0,00;100,00;100;31.12.2019 19:02;29.02.2020
2733;239;6;500;50;0,00;0,00;50;31.12.2019 19:27;29.02.2020
14186;240;7;500;50;0,00;0,00;50;31.12.2019 19:49;29.02.2020
13891;241;7;1000;100;100,00;0,00;100;31.12.2019 19:55;29.02.2020
824;242;7;1000;100;118,00;0,00;100;31.12.2019 20:15;29.02.2020
14518;243;7;1000;100;100,00;0,00;100;31.12.2019 20:26;29.02.2020
13609;244;7;500;50;50,00;0,00;50;31.12.2019 20:33;29.02.2020
14567;245;7;500;50;50,00;0,00;50;31.12.2019 20:45;29.02.2020
835;246;18;3000;150;150,00;150,00;150;31.12.2019 20:57;29.02.2020
13832;247;7;500;50;0,00;0,00;50;31.12.2019 21:09;29.02.2020
14513;248;8;1000;100;100,00;100,00;100;31.12.2019 21:41;29.02.2020
9192;249;7;500;50;0,00;0,00;50;31.12.2019 21:44;29.02.2020
14356;250;9;1000;100;0,00;100,00;100;31.12.2019 22:14;29.02.2020
463;251;8;1000;100;100,00;53,00;100;31.12.2019 22:15;29.02.2020
1979;252;9;500;50;0,00;50,00;50;31.12.2019 22:26;29.02.2020
14861;253;7;500;50;50,00;0,00;50;31.12.2019 22:34;29.02.2020
14842;254;19;3000;150;0,00;150,00;150;31.12.2019 22:35;29.02.2020
14906;255;9;1000;100;0,00;100,00;100;31.12.2019 22:42;29.02.2020
14435;256;8;500;50;50,00;50,00;50;31.12.2019 22:47;29.02.2020
14188;257;7;500;50;0,00;0,00;50;31.12.2019 22:50;29.02.2020
11209;258;6;1000;100;100,00;0,00;100;31.12.2019 23:02;29.02.2020
208;259;8;1000;100;0,00;97,00;100;31.12.2019 23:13;29.02.2020
65;260;8;500;50;0,00;45,00;50;31.12.2019 23:42;29.02.2020
97;261;7;500;50;50,00;0,00;50;31.12.2019 23:47;29.02.2020
13009;262;27;5000;167;0,00;0,00;167;01.01.2020 0:27;29.02.2020
11094;263;7;500;50;50,00;0,00;50;01.01.2020 0:42;29.02.2020
11355;264;7;1000;100;100,00;0,00;100;01.01.2020 0:44;29.02.2020
1042;265;6;1000;100;100,00;0,00;100;01.01.2020 0:45;29.02.2020
15157;266;7;500;50;50,00;0,00;50;01.01.2020 0:52;29.02.2020
15133;267;8;1000;100;100,00;100,00;100;01.01.2020 1:37;29.02.2020
1821;268;7;1000;100;0,00;0,00;100;01.01.2020 2:44;29.02.2020
15342;270;9;500;50;0,00;50,00;50;01.01.2020 3:11;29.02.2020
2198;271;9;500;50;2,00;48,00;50;01.01.2020 7:56;01.02.2020
1690;272;9;500;50;0,00;50,00;50;01.01.2020 9:00;01.02.2020
1664;273;9;500;50;3,00;47,00;50;01.01.2020 13:45;01.02.2020
1670;274;9;500;50;0,00;50,00;50;01.01.2020 14:30;01.02.2020
1863;275;7;500;50;0,00;0,00;50;02.01.2020 3:58;01.02.2020
16322;276;9;500;50;0,00;50,00;50;02.01.2020 16:36;02.02.2020
450;277;7;500;50;50,00;0,00;50;02.01.2020 17:08;02.02.2020
5843;278;8;500;50;50,00;0,00;50;02.01.2020 17:29;02.02.2020
342;279;16;3000;150;150,00;0,00;150;02.01.2020 20:57;02.02.2020
4129;280;6;500;50;50,00;0,00;50;02.01.2020 22:10;02.02.2020
16494;281;8;1000;100;100,00;0,00;100;03.01.2020 0:04;02.02.2020
16689;282;7;500;50;50,00;0,00;50;03.01.2020 18:16;03.02.2020
2286;283;8;1000;100;0,00;0,00;100;04.01.2020 0:09;03.02.2020
3358;284;9;1000;100;0,00;100,00;100;04.01.2020 15:37;04.02.2020
16469;285;7;1000;100;100,00;0,00;100;04.01.2020 20:02;04.02.2020
6528;286;27;5000;167;167,00;0,00;167;05.01.2020 13:52;05.02.2020
16424;287;8;1000;100;61,00;0,00;100;05.01.2020 20:30;05.02.2020
17172;288;29;5000;167;91,00;77,00;167;06.01.2020 2:10;05.02.2020
16546;289;17;3000;150;0,00;0,00;150;06.01.2020 4:50;05.02.2020
17201;290;8;500;50;0,00;0,00;50;06.01.2020 11:23;06.02.2020
16720;291;7;1000;100;50,00;0,00;100;06.01.2020 13:01;06.02.2020
17105;292;7;1000;100;100,00;0,00;100;06.01.2020 15:59;06.02.2020
11407;293;8;500;50;50,00;0,00;50;06.01.2020 22:32;06.02.2020
6271;294;9;500;50;10,00;40,00;50;06.01.2020 22:34;06.02.2020
17486;295;7;500;50;50,00;0,00;50;07.01.2020 17:07;07.02.2020
17532;296;9;500;50;0,00;50,00;50;07.01.2020 20:00;07.02.2020
16526;297;8;500;50;50,00;0,00;50;08.01.2020 5:21;08.02.2020
14976;298;7;500;50;50,00;0,00;50;08.01.2020 17:12;08.02.2020
17715;299;9;500;50;5,00;45,00;50;08.01.2020 21:19;08.02.2020
17725;300;9;500;50;0,00;50,00;50;08.01.2020 21:40;08.02.2020
17595;301;7;1000;100;0,00;0,00;100;09.01.2020 2:05;08.02.2020
16127;302;29;5000;167;0,00;167,00;167;09.01.2020 18:39;09.02.2020
102;303;27;10000;334;668,00;0,00;334;10.01.2020 16:19;10.02.2020
17487;305;6;1000;100;0,00;0,00;100;10.01.2020 19:29;10.02.2020
18024;306;7;1000;100;100,00;0,00;100;10.01.2020 19:41;10.02.2020
18124;307;7;500;50;0,00;0,00;50;11.01.2020 2:10;10.02.2020
17414;308;18;3000;150;150,00;0,00;150;11.01.2020 8:08;11.02.2020
16443;309;7;500;50;100,00;0,00;50;11.01.2020 20:05;11.02.2020
17548;310;7;500;50;50,00;0,00;50;12.01.2020 13:51;12.02.2020
18359;311;8;500;50;50,00;0,00;50;12.01.2020 17:45;12.02.2020
18363;312;7;1000;100;100,00;0,00;100;12.01.2020 18:53;12.02.2020
17707;313;8;500;50;50,00;0,00;50;12.01.2020 20:31;12.02.2020
17281;314;5;500;50;50,00;0,00;50;13.01.2020 2:48;12.02.2020
18366;315;6;500;50;100,00;0,00;50;13.01.2020 21:26;13.02.2020
5192;316;7;500;50;50,00;0,00;50;14.01.2020 12:57;14.02.2020
12263;317;7;500;50;0,00;0,00;50;14.01.2020 21:27;14.02.2020
3596;318;7;1000;100;0,00;0,00;100;14.01.2020 21:57;14.02.2020
17947;319;8;500;50;50,00;0,00;50;15.01.2020 2:09;14.02.2020
18826;320;8;1000;100;100,00;0,00;100;15.01.2020 10:16;15.02.2020
8806;321;7;1000;100;100,00;0,00;100;15.01.2020 18:50;15.02.2020
18818;322;7;500;50;50,00;0,00;50;15.01.2020 19:11;15.02.2020
18020;323;9;500;50;0,00;50,00;50;15.01.2020 19:44;15.02.2020
18583;324;8;1000;100;100,00;0,00;100;15.01.2020 22:18;15.02.2020
18667;325;7;500;50;50,00;0,00;50;15.01.2020 23:16;15.02.2020
16638;326;17;3000;150;150,00;0,00;150;16.01.2020 1:45;15.02.2020
17748;327;6;1000;100;100,00;0,00;100;16.01.2020 15:58;16.02.2020
18397;328;8;500;50;50,00;0,00;50;16.01.2020 20:11;16.02.2020
18200;329;7;500;50;50,00;0,00;50;16.01.2020 22:18;16.02.2020
17535;330;8;500;50;50,00;0,00;50;17.01.2020 12:14;17.02.2020
17910;331;8;500;50;50,00;0,00;50;17.01.2020 12:39;17.02.2020
17899;332;8;500;50;50,00;0,00;50;17.01.2020 21:13;17.02.2020
17875;333;8;500;50;50,00;0,00;50;18.01.2020 22:16;18.02.2020
17906;334;8;500;50;50,00;0,00;50;18.01.2020 22:22;18.02.2020
7467;336;7;500;50;50,00;0,00;50;21.01.2020 15:57;21.02.2020
325;337;9;500;50;21,00;1,00;50;21.01.2020 17:41;21.02.2020
17772;338;8;500;50;50,00;0,00;50;21.01.2020 20:11;21.02.2020
17598;339;9;500;50;5,00;45,00;50;22.01.2020 0:54;21.02.2020
12541;340;9;1000;100;0,00;100,00;100;22.01.2020 1:31;21.02.2020
19941;341;8;500;50;50,00;0,00;50;23.01.2020 2:14;22.02.2020
19818;342;7;500;50;50,00;0,00;50;23.01.2020 8:24;23.02.2020
6029;343;8;500;50;50,00;0,00;50;23.01.2020 20:12;23.02.2020
17227;344;8;500;50;50,00;0,00;50;23.01.2020 20:45;23.02.2020
20181;345;7;1000;100;100,00;0,00;100;24.01.2020 17:28;24.02.2020
19493;346;8;500;50;50,00;0,00;50;27.01.2020 3:34;26.02.2020
17531;347;8;500;50;0,00;0,00;50;27.01.2020 13:00;27.02.2020
9825;348;8;500;50;50,00;0,00;50;27.01.2020 23:12;27.02.2020
316;349;8;1000;100;1,00;0,00;100;28.01.2020 5:12;27.02.2020
18399;350;8;500;50;50,00;0,00;50;28.01.2020 5:29;28.02.2020
313;351;6;1000;100;100,00;0,00;100;29.01.2020 0:18;28.02.2020
3884;352;8;1000;100;100,00;0,00;100;29.01.2020 18:32;29.02.2020
17808;353;7;500;50;50,00;0,00;50;29.01.2020 21:46;29.02.2020
17883;354;8;500;50;50,00;0,00;50;30.01.2020 1:15;29.02.2020
312;356;8;1000;100;0,00;0,00;100;30.01.2020 8:35;29.02.2020
196;6;7;1000;100;100,00;0,00;100;18.12.2019 23:55;18.01.2020
227;20;7;500;50;50,00;0,00;50;20.12.2019 5:40;20.01.2020
238;22;7;500;50;50,00;0,00;50;20.12.2019 10:45;20.01.2020
45;24;26;5000;167;167,00;0,00;167;20.12.2019 14:59;20.01.2020
123;26;28;5000;167;167,00;0,00;167;20.12.2019 16:56;20.01.2020
211;28;19;1000;50;0,00;50,00;50;20.12.2019 18:07;20.01.2020
70;36;6;500;50;0,00;0,00;50;22.12.2019 13:50;22.01.2020
1109;39;7;1000;100;100,00;0,00;100;23.12.2019 0:38;22.01.2020
77;49;7;1000;100;0,00;0,00;100;23.12.2019 15:52;23.01.2020
988;50;7;1000;100;100,00;0,00;100;23.12.2019 15:59;23.01.2020
52;52;6;1000;100;100,00;0,00;100;23.12.2019 16:44;23.01.2020
66;54;7;500;50;100,00;0,00;50;23.12.2019 18:23;23.01.2020
98;56;9;1000;100;0,00;100,00;100;23.12.2019 20:02;23.01.2020
287;59;8;1000;100;100,00;0,00;100;23.12.2019 23:15;23.01.2020
210;60;9;600;60;0,00;10,00;60;23.12.2019 23:20;23.01.2020
107;61;7;1000;100;100,00;0,00;100;23.12.2019 23:27;23.01.2020
141;62;8;500;50;50,00;0,00;50;23.12.2019 23:34;23.01.2020
1562;63;8;500;50;0,00;0,00;50;24.12.2019 0:03;23.01.2020
106;64;7;1000;100;100,00;0,00;100;24.12.2019 0:07;23.01.2020
93;69;8;500;50;50,00;0,00;50;24.12.2019 3:22;23.01.2020
94;71;7;500;50;100,00;0,00;50;24.12.2019 3:43;23.01.2020
1845;72;7;500;50;50,00;0,00;50;24.12.2019 4:03;24.01.2020
51;84;9;1000;100;25,00;75,00;100;25.12.2019 13:55;25.01.2020
2628;85;7;500;50;50,00;0,00;50;25.12.2019 15:46;25.01.2020
2469;87;7;500;50;50,00;0,00;50;25.12.2019 20:24;25.01.2020
266;92;6;500;50;50,00;0,00;50;26.12.2019 10:09;26.01.2020
2330;98;7;500;50;50,00;0,00;50;26.12.2019 14:00;26.01.2020
424;108;7;1000;100;100,00;0,00;100;27.12.2019 10:13;27.01.2020
489;109;7;1000;100;100,00;0,00;100;27.12.2019 12:16;27.01.2020
509;112;7;1000;100;100,00;0,00;100;27.12.2019 17:36;27.01.2020
204;114;6;1000;100;200,00;0,00;100;27.12.2019 18:10;27.01.2020
2001;115;7;1000;100;100,00;0,00;100;27.12.2019 18:29;27.01.2020
193;116;6;1000;100;200,00;0,00;100;27.12.2019 18:47;27.01.2020
3897;118;6;1000;100;8,00;0,00;100;27.12.2019 19:37;27.01.2020
225;119;7;500;50;50,00;0,00;50;27.12.2019 21:21;27.01.2020
2228;120;7;1000;100;100,00;0,00;100;27.12.2019 22:17;27.01.2020
5534;123;7;500;50;50,00;0,00;50;28.12.2019 1:12;27.01.2020
5554;124;6;500;50;50,00;0,00;50;28.12.2019 1:31;27.01.2020
187;126;8;1000;100;18,00;0,00;100;28.12.2019 1:56;27.01.2020
5572;130;6;1000;100;200,00;0,00;100;28.12.2019 2:42;27.01.2020
5596;134;7;1000;100;100,00;0,00;100;28.12.2019 4:26;28.01.2020
2866;136;7;1000;100;100,00;0,00;100;28.12.2019 4:58;28.01.2020
5576;143;9;1000;100;0,00;100,00;100;28.12.2019 10:09;28.01.2020
