User_id,Credit_id,Count_months,Amount,Month_payment,Payed,Left,Planned,Credit_taken,Pay_date
5638,170,7,1000.00,100.00,100.00,100.00,100.00,2019-12-30 01:45:22,2020-03-29
9806,172,9,1000.00,100.00,0,100.00,100.00,2019-12-30 02:12:29,2020-03-29
9923,173,6,500.00,50.00,100.00,0.00,50.00,2019-12-30 03:47:44,2020-03-29
9921,174,9,500.00,50.00,0,50.00,50.00,2019-12-30 05:07:13,2020-03-30
3667,175,7,1000.00,100.00,100.00,100.00,100.00,2019-12-30 05:31:04,2020-03-30
4057,176,7,500.00,50.00,0,50.00,50.00,2019-12-30 11:30:16,2020-03-30
3408,177,7,1000.00,100.00,0,100.00,100.00,2019-12-30 11:38:17,2020-03-30
9527,178,7,500.00,50.00,50.00,50.00,50.00,2019-12-30 12:22:38,2020-03-30
3960,179,18,25500.00,1275.00,1182.00,0.00,1275.00,2020-02-03 21:36:57,2020-03-03
233,180,26,5000.00,167.00,167.00,0.00,167.00,2019-12-30 12:57:36,2020-03-30
6019,181,7,500.00,50.00,0,50.00,50.00,2019-12-30 14:29:25,2020-03-30
11043,182,7,1000.00,100.00,0,100.00,100.00,2019-12-30 15:24:15,2020-03-30
10023,183,7,1000.00,100.00,100.00,100.00,100.00,2019-12-30 15:43:50,2020-03-30
11113,184,7,500.00,50.00,0,50.00,50.00,2019-12-30 15:50:36,2020-03-30
5431,185,8,600.00,60.00,0,0.00,60.00,2020-02-27 20:11:27,2020-03-27
11157,186,7,500.00,50.00,50.00,50.00,50.00,2019-12-30 16:07:53,2020-03-30
11156,187,7,500.00,50.00,35.00,50.00,50.00,2019-12-30 16:25:41,2020-03-30
3681,188,7,1000.00,100.00,100.00,100.00,100.00,2019-12-30 16:33:45,2020-03-30
9265,189,7,1000.00,100.00,0,100.00,100.00,2019-12-30 17:18:18,2020-03-30
10695,190,4,500.00,50.00,100.00,0.00,50.00,2019-12-30 17:48:37,2020-03-30
9966,191,7,1000.00,100.00,100.00,100.00,100.00,2019-12-30 17:53:48,2020-03-30
11501,192,27,5000.00,167.00,0,167.00,167.00,2019-12-30 18:53:55,2020-03-30
11508,193,7,500.00,50.00,50.00,50.00,50.00,2019-12-30 18:59:53,2020-03-30
2991,194,7,500.00,50.00,0,50.00,50.00,2019-12-30 19:05:55,2020-03-30
11431,195,9,1000.00,100.00,0,100.00,100.00,2019-12-30 19:09:01,2020-03-30
2426,196,7,500.00,50.00,0,50.00,50.00,2019-12-30 19:45:14,2020-03-30
5897,197,5,500.00,50.00,100.00,0.00,50.00,2019-12-30 19:58:16,2020-03-30
